--------------------------------------------------------------------- 
AIRFOIL: NACA 0015 
DATA: Lift Coefficients 
--------------------------------------------------------------------- 
ORIGINAL SOURCE: Sheldahl, R. E. and Klimas, P. C., Aerodynamic 
Characteristics of Seven Airfoil Sections Through 
180 Degrees Angle of Attack for Use in Aerodynamic 
Analysis of Vertical Axis Wind Turbines, SAND80-2114, 
March 1981, Sandia National Laboratories, Albuquerque, 
New Mexico. 

NOTES: The data herein were synthesised from a combination of 
experimental results and computer calculations. 


The original report contains data for lower Reynolds numbers 
than contained herein, but there are some anomalies, in 
particular with CL at small angles of attack. 


Data extended to 360 degrees of attack and glaring anomalies 
corrected by L. Lazauskas. All deviations from the original 
are due to L. Lazauskas. 


Please refer to the original report for more details. 

------------------------------------------------------------------------ 
Lift Coefficient                                                         
-------------------------------- REYNOLDS NUMBER ----------------------- 
ALPHA   80000   160000  360000  700000  1000000 2000000 5000000 10000000 
------------------------------------------------------------------------ 
0       0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000   
1       0.1100  0.1100  0.1100  0.1100  0.1100  0.1100  0.1100  0.1100   
2       0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200   
3       0.3300  0.3300  0.3300  0.3300  0.3300  0.3300  0.3300  0.3300   
4       0.4186  0.4400  0.4400  0.4400  0.4400  0.4400  0.4400  0.4400   
5       0.5180  0.5500  0.5500  0.5500  0.5500  0.5500  0.5500  0.5500   
6       0.6048  0.6299  0.6600  0.6600  0.6600  0.6600  0.6600  0.6600   
7       0.6760  0.7150  0.7390  0.7483  0.7700  0.7700  0.7700  0.7700   
8       0.7189  0.7851  0.8240  0.8442  0.8504  0.8800  0.8800  0.8800   
9       0.6969  0.8311  0.8946  0.9260  0.9387  0.9574  0.9900  0.9900   
10      0.6122  0.8322  0.9440  0.9937  1.0141  1.0433  1.0685  1.1000   
11      0.1642  0.7623  0.9572  1.0363  1.0686  1.1138  1.1553  1.1749   
12      0.0749  0.5936  0.9285  1.0508  1.0971  1.1667  1.2290  1.2591   
13      0.0967  0.3548  0.8562  1.0302  1.0957  1.1948  1.2847  1.3300   
14      0.1382  0.2371  0.7483  0.9801  1.0656  1.1962  1.3187  1.3825   
15      0.1861  0.2376  0.6350  0.9119  1.0145  1.1744  1.3298  1.4136   
16      0.2364  0.2665  0.5384  0.8401  0.9567  1.1356  1.3186  1.4233   
17      0.2873  0.3098  0.4851  0.7799  0.8996  1.0921  1.2917  1.4136   
18      0.3393  0.3567  0.4782  0.7305  0.8566  1.0510  1.2576  1.3897   
19      0.3927  0.4066  0.4908  0.7041  0.8226  1.0173  1.2242  1.3608   
20      0.4463  0.4575  0.5247  0.6990  0.8089  0.9954  1.1965  1.3325   
21      0.5001  0.5087  0.5616  0.7097  0.8063  0.9837  1.1771  1.3077   
22      0.5539  0.5611  0.6045  0.7298  0.8189  0.9827  1.1647  1.2767   
23      0.6078  0.6148  0.6528  0.7593  0.8408  0.9910  1.1611  1.1981   
24      0.6617  0.6685  0.7015  0.7961  0.8668  1.0078  1.1563  1.1538   
25      0.7156  0.7224  0.7511  0.8353  0.9023  1.0317  1.1322  1.1380   
26      0.7700  0.7771  0.8055  0.8838  0.9406  1.0591  1.1268  1.1374   
27      0.8277  0.8382  0.8788  0.9473  0.9912  1.0810  1.1397  1.1519   
30      0.8550  0.8550  0.9300  0.9600  1.0100  1.0700  1.1000  1.1200   
35      0.9800  0.9800  0.9820  0.9800  1.0200  1.0620  1.0800  1.1000   
40      1.0350  1.0350  1.0350  1.0350  1.0350  1.0550  1.0600  1.0700   
45      1.0500  1.0500  1.0500  1.0500  1.0500  1.0500  1.0500  1.0500   
50      1.0200  1.0200  1.0200  1.0200  1.0200  1.0200  1.0200  1.0200   
55      0.9550  0.9550  0.9550  0.9550  0.9550  0.9550  0.9550  0.9550   
60      0.8750  0.8750  0.8750  0.8750  0.8750  0.8750  0.8750  0.8750   
65      0.7600  0.7600  0.7600  0.7600  0.7600  0.7600  0.7600  0.7600   
70      0.6300  0.6300  0.6300  0.6300  0.6300  0.6300  0.6300  0.6300   
75      0.5000  0.5000  0.5000  0.5000  0.5000  0.5000  0.5000  0.5000   
80      0.3650  0.3650  0.3650  0.3650  0.3650  0.3650  0.3650  0.3650   
85      0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300   
90      0.0900  0.0900  0.0900  0.0900  0.0900  0.0900  0.0900  0.0900   
95      -0.0500 -0.0500 -0.0500 -0.0500 -0.0500 -0.0500 -0.0500 -0.0500  
100     -0.1850 -0.1850 -0.1850 -0.1850 -0.1850 -0.1850 -0.1850 -0.1850  
105     -0.3200 -0.3200 -0.3200 -0.3200 -0.3200 -0.3200 -0.3200 -0.3200  
110     -0.4500 -0.4500 -0.4500 -0.4500 -0.4500 -0.4500 -0.4500 -0.4500  
115     -0.5750 -0.5750 -0.5750 -0.5750 -0.5750 -0.5750 -0.5750 -0.5750  
120     -0.6700 -0.6700 -0.6700 -0.6700 -0.6700 -0.6700 -0.6700 -0.6700  
125     -0.7600 -0.7600 -0.7600 -0.7600 -0.7600 -0.7600 -0.7600 -0.7600  
130     -0.8500 -0.8500 -0.8500 -0.8500 -0.8500 -0.8500 -0.8500 -0.8500  
135     -0.9300 -0.9300 -0.9300 -0.9300 -0.9300 -0.9300 -0.9300 -0.9300  
140     -0.9800 -0.9800 -0.9800 -0.9800 -0.9800 -0.9800 -0.9800 -0.9800  
145     -0.9000 -0.9000 -0.9000 -0.9000 -0.9000 -0.9000 -0.9000 -0.9000  
150     -0.7700 -0.7700 -0.7700 -0.7700 -0.7700 -0.7700 -0.7700 -0.7700  
155     -0.6700 -0.6700 -0.6700 -0.6700 -0.6700 -0.6700 -0.6700 -0.6700  
160     -0.6350 -0.6350 -0.6350 -0.6350 -0.6350 -0.6350 -0.6350 -0.6350  
165     -0.6800 -0.6800 -0.6800 -0.6800 -0.6800 -0.6800 -0.6800 -0.6800  
170     -0.8500 -0.8500 -0.8500 -0.8500 -0.8500 -0.8500 -0.8500 -0.8500  
175     -0.6600 -0.6600 -0.6600 -0.6600 -0.6600 -0.6600 -0.6600 -0.6600  
180     0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000   
185     0.6600  0.6600  0.6600  0.6600  0.6600  0.6600  0.6600  0.6600   
190     0.8500  0.8500  0.8500  0.8500  0.8500  0.8500  0.8500  0.8500   
195     0.6800  0.6800  0.6800  0.6800  0.6800  0.6800  0.6800  0.6800   
200     0.6350  0.6350  0.6350  0.6350  0.6350  0.6350  0.6350  0.6350   
205     0.6700  0.6700  0.6700  0.6700  0.6700  0.6700  0.6700  0.6700   
210     0.7700  0.7700  0.7700  0.7700  0.7700  0.7700  0.7700  0.7700   
215     0.9000  0.9000  0.9000  0.9000  0.9000  0.9000  0.9000  0.9000   
220     0.9800  0.9800  0.9800  0.9800  0.9800  0.9800  0.9800  0.9800   
225     0.9300  0.9300  0.9300  0.9300  0.9300  0.9300  0.9300  0.9300   
230     0.8500  0.8500  0.8500  0.8500  0.8500  0.8500  0.8500  0.8500   
